"x","y","t","zt","zt1"
732500,3652500,1996,0.188,0.067
737500,3652500,1996,0.173,0.134
772500,3652500,1996,0.026,0
777500,3652500,1996,0.067,0
782500,3652500,1996,0.142,0
787500,3652500,1996,0.298,0
792500,3652500,1996,0.172,0
177500,3657500,1996,0.091,0
182500,3657500,1996,0.06,0
187500,3657500,1996,0.095,0
192500,3657500,1996,0.348,0
197500,3657500,1996,0.039,0
212500,3657500,1996,0.093,0
217500,3657500,1996,0.325,0
222500,3657500,1996,0.05,0
377500,3657500,1996,0.056,0
382500,3657500,1996,0.076,0
517500,3657500,1996,0.094,0
522500,3657500,1996,0.178,0
542500,3657500,1996,0.036,0
547500,3657500,1996,0.086,0
552500,3657500,1996,0.095,0
662500,3657500,1996,0.026,0
667500,3657500,1996,0.113,0
672500,3657500,1996,0.022,0
727500,3657500,1996,0.116,0
732500,3657500,1996,0.099,0
737500,3657500,1996,0.323,0.125
742500,3657500,1996,0.01,0.222
772500,3657500,1996,0.03,0
777500,3657500,1996,0.219,0
782500,3657500,1996,0.339,0
787500,3657500,1996,0.101,0
792500,3657500,1996,0.114,0
177500,3662500,1996,0.016,0
182500,3662500,1996,0.06,0
187500,3662500,1996,0.121,0
192500,3662500,1996,0.125,0
197500,3662500,1996,0.035,0
212500,3662500,1996,0.1,0
217500,3662500,1996,0.176,0
222500,3662500,1996,0.045,0
542500,3662500,1996,0.045,0
547500,3662500,1996,0.126,0
552500,3662500,1996,0.047,0
732500,3662500,1996,0.01,0
737500,3662500,1996,0.03,0
772500,3662500,1996,0.112,0
777500,3662500,1996,0.142,0
782500,3662500,1996,0.181,0
787500,3662500,1996,0.172,0
792500,3662500,1996,0.082,0
177500,3667500,1996,0.024,0
182500,3667500,1996,0.083,0
187500,3667500,1996,0.041,0
192500,3667500,1996,0.017,0
567500,3667500,1996,0.008,0
572500,3667500,1996,0.01,0
722500,3667500,1996,0.012,0
727500,3667500,1996,0.018,0
752500,3667500,1996,0.026,0
757500,3667500,1996,0.037,0
782500,3667500,1996,0.245,0
787500,3667500,1996,0.223,0
792500,3667500,1996,0.139,0
797500,3667500,1996,0.243,0
182500,3672500,1996,0.045,0
187500,3672500,1996,0.035,0
567500,3672500,1996,0.007,0
572500,3672500,1996,0.01,0
707500,3672500,1996,0.016,0
712500,3672500,1996,0.061,0
722500,3672500,1996,0.13,0
727500,3672500,1996,0.133,0
732500,3672500,1996,0.021,0
752500,3672500,1996,0.055,0
757500,3672500,1996,0.094,0
762500,3672500,1996,0.106,0
767500,3672500,1996,0.146,0
787500,3672500,1996,0.394,0
792500,3672500,1996,0.352,0
797500,3672500,1996,0.332,0
397500,3677500,1996,0.018,0
572500,3677500,1996,0.018,0
577500,3677500,1996,0.052,0
582500,3677500,1996,0.018,0
707500,3677500,1996,0.087,0
712500,3677500,1996,0.115,0
717500,3677500,1996,0.02,0
722500,3677500,1996,0.047,0
727500,3677500,1996,0.068,0
732500,3677500,1996,0.061,0
747500,3677500,1996,0.055,0
752500,3677500,1996,0.152,0
757500,3677500,1996,0.458,0
762500,3677500,1996,0.124,0
767500,3677500,1996,0.107,0
817500,3677500,1996,0.773,0
822500,3677500,1996,1.512,0
827500,3677500,1996,1.472,0
392500,3682500,1996,0.066,0
397500,3682500,1996,0.244,0
402500,3682500,1996,0.036,0
477500,3682500,1996,0.025,0
482500,3682500,1996,0.09,0.022
487500,3682500,1996,0.067,0.203
492500,3682500,1996,0.12,0.074
497500,3682500,1996,0.032,0.026
572500,3682500,1996,0.014,0
577500,3682500,1996,0.078,0
582500,3682500,1996,0.033,0
707500,3682500,1996,0.02,0
712500,3682500,1996,0.016,0
717500,3682500,1996,0.03,0
722500,3682500,1996,0.053,0
727500,3682500,1996,0.399,0
732500,3682500,1996,0.107,0
742500,3682500,1996,0.037,0
747500,3682500,1996,0.402,0
752500,3682500,1996,0.28,0
757500,3682500,1996,0.142,0
762500,3682500,1996,0.058,0
767500,3682500,1996,0.062,0
812500,3682500,1996,0.84,0
817500,3682500,1996,0.737,0
822500,3682500,1996,1.424,0
827500,3682500,1996,1.946,0
832500,3682500,1996,1.693,0
297500,3687500,1996,0.089,0
392500,3687500,1996,0.037,0
397500,3687500,1996,0.111,0
402500,3687500,1996,0.032,0
477500,3687500,1996,0.087,0
482500,3687500,1996,0.355,0.036
487500,3687500,1996,0.125,0.166
492500,3687500,1996,0.437,0.048
497500,3687500,1996,0.093,0
577500,3687500,1996,0.013,0
712500,3687500,1996,0.017,0
717500,3687500,1996,0.196,0
722500,3687500,1996,0.079,0
727500,3687500,1996,0.076,0
732500,3687500,1996,0.03,0
742500,3687500,1996,0.018,0
747500,3687500,1996,0.209,0
752500,3687500,1996,0.259,0
757500,3687500,1996,0.052,0
812500,3687500,1996,0.778,0
817500,3687500,1996,0.652,0
822500,3687500,1996,2.31,0
827500,3687500,1996,2.019,0
832500,3687500,1996,2.249,0.311
837500,3687500,1996,2.355,0.503
842500,3687500,1996,3.399,0.498
292500,3692500,1996,0.373,0
297500,3692500,1996,0.139,0
302500,3692500,1996,0.053,0
477500,3692500,1996,0.024,0
482500,3692500,1996,0.07,0.077
487500,3692500,1996,0.012,0.614
492500,3692500,1996,0.056,0.063
497500,3692500,1996,0.021,0
682500,3692500,1996,0.025,0
697500,3692500,1996,0.018,0
712500,3692500,1996,0.017,0
717500,3692500,1996,0.063,0
722500,3692500,1996,0.034,0
727500,3692500,1996,0.065,0
732500,3692500,1996,0.041,0
747500,3692500,1996,0.062,0
752500,3692500,1996,0.097,0
757500,3692500,1996,0.023,0
817500,3692500,1996,1.498,0
822500,3692500,1996,1.826,0
827500,3692500,1996,2.639,0.202
832500,3692500,1996,2.612,0.357
837500,3692500,1996,2.111,0.571
842500,3692500,1996,3.015,0.484
847500,3692500,1996,2.427,0.255
232500,3697500,1996,0.109,0.044
237500,3697500,1996,0.127,0
257500,3697500,1996,0.018,0
262500,3697500,1996,0.028,0
292500,3697500,1996,0.331,0.039
297500,3697500,1996,0.45,0.164
302500,3697500,1996,0.263,0.112
307500,3697500,1996,0.026,0
597500,3697500,1996,0.027,0
602500,3697500,1996,0.039,0
607500,3697500,1996,0.055,0
612500,3697500,1996,0.025,0
677500,3697500,1996,0.02,0
682500,3697500,1996,0.177,0
687500,3697500,1996,0.028,0
692500,3697500,1996,0.031,0
697500,3697500,1996,0.041,0
702500,3697500,1996,0.031,0
717500,3697500,1996,0.03,0
727500,3697500,1996,0.088,0
732500,3697500,1996,0.198,0
737500,3697500,1996,0.092,0
742500,3697500,1996,0.09,0
747500,3697500,1996,0.33,0
752500,3697500,1996,0.326,0
757500,3697500,1996,0.052,0
827500,3697500,1996,2.181,0.362
832500,3697500,1996,2.71,0.324
837500,3697500,1996,2.651,0.695
842500,3697500,1996,2.139,0.336
847500,3697500,1996,1.305,0.287
852500,3697500,1996,0.519,0.325
857500,3697500,1996,0.51,0.29
862500,3697500,1996,0.36,0.414
232500,3702500,1996,0.054,0.038
237500,3702500,1996,0.038,0
252500,3702500,1996,0.015,0
257500,3702500,1996,0.084,0.016
262500,3702500,1996,0.101,0.154
292500,3702500,1996,0.227,0.116
297500,3702500,1996,0.669,0.365
302500,3702500,1996,0.238,0.331
592500,3702500,1996,0.025,0
597500,3702500,1996,0.269,0
602500,3702500,1996,0.123,0
607500,3702500,1996,0.398,0
612500,3702500,1996,0.036,0
677500,3702500,1996,0.023,0
682500,3702500,1996,0.047,0
687500,3702500,1996,0.012,0
692500,3702500,1996,0.074,0
697500,3702500,1996,0.219,0
702500,3702500,1996,0.033,0
727500,3702500,1996,0.057,0
732500,3702500,1996,0.243,0
737500,3702500,1996,0.546,0
742500,3702500,1996,0.17,0
747500,3702500,1996,0.298,0
752500,3702500,1996,0.171,0
757500,3702500,1996,0.034,0
837500,3702500,1996,2.157,0.683
842500,3702500,1996,1.338,0.381
847500,3702500,1996,1.148,0.124
852500,3702500,1996,0.74,0.162
857500,3702500,1996,0.515,0.446
862500,3702500,1996,0.368,0.369
252500,3707500,1996,0.023,0
257500,3707500,1996,0.068,0.019
292500,3707500,1996,0.028,0.037
297500,3707500,1996,0.123,0.125
302500,3707500,1996,0.227,0.08
307500,3707500,1996,0.023,0
597500,3707500,1996,0.033,0
602500,3707500,1996,0.02,0
607500,3707500,1996,0.041,0
692500,3707500,1996,0.022,0
697500,3707500,1996,0.017,0
707500,3707500,1996,0.044,0
712500,3707500,1996,0.035,0
722500,3707500,1996,0.019,0
727500,3707500,1996,0.088,0
732500,3707500,1996,0.16,0
737500,3707500,1996,0.279,0
742500,3707500,1996,0.135,0
747500,3707500,1996,0.384,0.018
752500,3707500,1996,0.311,0.069
757500,3707500,1996,0.34,0.149
762500,3707500,1996,0.303,0.083
767500,3707500,1996,0.388,0.103
782500,3707500,1996,0.221,0
787500,3707500,1996,0.211,0
842500,3707500,1996,1.004,0
847500,3707500,1996,0.783,0
852500,3707500,1996,0.518,0.119
857500,3707500,1996,0.092,0.061
862500,3707500,1996,0.063,0.195
297500,3712500,1996,0.063,0
302500,3712500,1996,0.173,0
307500,3712500,1996,0.039,0
702500,3712500,1996,0.038,0
707500,3712500,1996,0.201,0
712500,3712500,1996,0.196,0
717500,3712500,1996,0.028,0
722500,3712500,1996,0.043,0
727500,3712500,1996,0.516,0
732500,3712500,1996,0.748,0
737500,3712500,1996,0.439,0
742500,3712500,1996,0.297,0
747500,3712500,1996,0.348,0.022
752500,3712500,1996,0.626,0.147
757500,3712500,1996,1.408,0.212
762500,3712500,1996,0.846,0.33
767500,3712500,1996,0.204,0.049
772500,3712500,1996,0.06,0
777500,3712500,1996,0.05,0
782500,3712500,1996,0.053,0
787500,3712500,1996,0.081,0
792500,3712500,1996,0.246,0
797500,3712500,1996,0.358,0.049
802500,3712500,1996,0.27,0.027
807500,3712500,1996,0.158,0.089
812500,3712500,1996,0.098,0
852500,3712500,1996,0.221,0.464
857500,3712500,1996,0.233,0.564
862500,3712500,1996,0.443,0.644
262500,3717500,1996,0.084,0
267500,3717500,1996,0.263,0
272500,3717500,1996,0.02,0
707500,3717500,1996,0.175,0
712500,3717500,1996,0.551,0
717500,3717500,1996,0.359,0
722500,3717500,1996,0.048,0
727500,3717500,1996,0.281,0
732500,3717500,1996,0.805,0
737500,3717500,1996,0.689,0
742500,3717500,1996,0.819,0
747500,3717500,1996,0.67,0
752500,3717500,1996,0.805,0.097
757500,3717500,1996,0.589,0.396
762500,3717500,1996,0.515,0.147
767500,3717500,1996,0.377,0.023
772500,3717500,1996,0.326,0
777500,3717500,1996,0.017,0
782500,3717500,1996,0.114,0
787500,3717500,1996,0.152,0
792500,3717500,1996,0.153,0.019
797500,3717500,1996,1.486,0.033
802500,3717500,1996,0.575,0.102
807500,3717500,1996,0.239,0.143
812500,3717500,1996,0.293,0.158
817500,3717500,1996,0.291,0.264
852500,3717500,1996,0.463,1.512
857500,3717500,1996,0.481,0.998
862500,3717500,1996,0.668,0.987
257500,3722500,1996,0.016,0
