"x","y","t","zt","zt1"
232500,3990500,1996,0.084,0.034
237500,3990500,1996,0.174,0
242500,3990500,1996,0.184,0
247500,3990500,1996,0.153,0.065
252500,3990500,1996,0.159,0.074
257500,3990500,1996,0.353,0.128
262500,3990500,1996,0.178,0.166
267500,3990500,1996,0.089,0.091
272500,3990500,1996,0.219,0.041
277500,3990500,1996,0.149,0
282500,3990500,1996,0.042,0
297500,3990500,1996,0.107,0
302500,3990500,1996,0.515,0
307500,3990500,1996,0.448,0
312500,3990500,1996,0.108,0
317500,3990500,1996,0.074,0
322500,3990500,1996,0.048,0
337500,3990500,1996,0.596,0
342500,3990500,1996,3.668,0
347500,3990500,1996,0.867,0.052
352500,3990500,1996,0.193,0.396
357500,3990500,1996,0.058,0.022
362500,3990500,1996,0.381,0.053
367500,3990500,1996,1.188,0.395
372500,3990500,1996,0.946,0.986
377500,3990500,1996,0.393,1.556
222500,3995500,1996,0.029,0.111
227500,3995500,1996,0.039,0.071
232500,3995500,1996,0.039,0.038
237500,3995500,1996,0.093,0
242500,3995500,1996,0.108,0
247500,3995500,1996,0.078,0.09
252500,3995500,1996,0.279,0.374
257500,3995500,1996,0.388,0.21
262500,3995500,1996,0.182,0.117
267500,3995500,1996,0.066,0.074
272500,3995500,1996,0.052,0.042
277500,3995500,1996,0.038,0.035
282500,3995500,1996,0.041,0
287500,3995500,1996,0.082,0
292500,3995500,1996,0.06,0
297500,3995500,1996,0.07,0
302500,3995500,1996,0.289,0
307500,3995500,1996,0.69,0
312500,3995500,1996,0.264,0
317500,3995500,1996,0.373,0
322500,3995500,1996,0.098,0
327500,3995500,1996,0.039,0
337500,3995500,1996,0.059,0
342500,3995500,1996,0.187,0
347500,3995500,1996,0.241,0.231
352500,3995500,1996,0.191,0.103
357500,3995500,1996,0.174,0
362500,3995500,1996,0.814,0.257
367500,3995500,1996,1.262,0.695
372500,3995500,1996,5.57,3.749
377500,3995500,1996,1.711,3.234
232500,4000500,1996,0.058,0
237500,4000500,1996,0.263,0
242500,4000500,1996,0.11,0
247500,4000500,1996,0.096,0.143
252500,4000500,1996,0.233,0.414
257500,4000500,1996,0.283,0.222
262500,4000500,1996,0.113,0.071
267500,4000500,1996,0.04,0.045
272500,4000500,1996,0.062,0.188
277500,4000500,1996,0.133,0.083
282500,4000500,1996,0.266,0.036
287500,4000500,1996,0.28,0
292500,4000500,1996,0.172,0
297500,4000500,1996,0.093,0
302500,4000500,1996,0.443,0.038
307500,4000500,1996,1.833,0
312500,4000500,1996,0.578,0
317500,4000500,1996,0.316,0
322500,4000500,1996,0.143,0
327500,4000500,1996,0.042,0.019
332500,4000500,1996,0.063,0.014
337500,4000500,1996,0.095,0
342500,4000500,1996,0.189,0.037
347500,4000500,1996,0.078,0.101
362500,4000500,1996,0.372,0.23
367500,4000500,1996,0.818,0.391
372500,4000500,1996,1.072,2.112
377500,4000500,1996,2.324,3.582
232500,4005500,1996,0.099,0.055
237500,4005500,1996,0.183,0.041
242500,4005500,1996,0.136,0.042
247500,4005500,1996,0.077,0.194
252500,4005500,1996,0.049,0.43
257500,4005500,1996,0.043,0.161
272500,4005500,1996,0.344,0.434
277500,4005500,1996,0.534,0.303
282500,4005500,1996,0.508,0
287500,4005500,1996,0.578,0
292500,4005500,1996,0.57,0
297500,4005500,1996,0.358,0.048
302500,4005500,1996,0.548,0.086
307500,4005500,1996,2.509,0.045
312500,4005500,1996,1.053,0
317500,4005500,1996,0.65,0
322500,4005500,1996,0.174,0.041
327500,4005500,1996,0.301,0.055
332500,4005500,1996,0.304,0.098
337500,4005500,1996,0.395,0.026
342500,4005500,1996,0.155,0
347500,4005500,1996,0.046,0
362500,4005500,1996,0.248,0.2
367500,4005500,1996,1.176,0.357
372500,4005500,1996,2.532,1.089
377500,4005500,1996,0.659,1.549
232500,4010500,1996,0.068,0.329
237500,4010500,1996,0.276,0.094
242500,4010500,1996,0.116,0.062
247500,4010500,1996,0.041,0.269
257500,4010500,1996,0.073,0.16
262500,4010500,1996,0.069,0.1
267500,4010500,1996,0.073,0.253
272500,4010500,1996,0.523,0.714
277500,4010500,1996,1.554,0.857
282500,4010500,1996,0.126,0
287500,4010500,1996,0.172,0
292500,4010500,1996,0.134,0
297500,4010500,1996,0.415,0.065
